fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2298.0,,,,,,7.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2287.0,,,,,,18.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2274.0,,,,,,26.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2254.0,,,,,,36.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2224.0,,,,,,40.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2195.0,,,,,,31.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2184.0,,,,,,354.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2202.0,,,,,,317.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2242.0,,,,,,313.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2272.0,,,,,,321.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2298.0,,,,,,322.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2327.0,,,,,,331.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2332.0,,,,,,42.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2291.0,,,,,,64.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2243.0,,,,,,65.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2202.0,,,,,,68.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2159.0,,,,,,65.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2132.0,,,,,,57.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2114.0,,,,,,33.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2118.0,,,,,,313.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2138.0,,,,,,314.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2144.0,,,,,,324.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2163.0,,,,,,308.0,,,0.8,,20,,2
NF,,,,,51.621244,-115.608378,2198.0,,,,,,298.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2234.0,,,,,,305.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2259.0,,,,,,315.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2290.0,,,,,,312.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2335.0,,,,,,45.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2286.0,,,,,,91.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2212.0,,,,,,93.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2195.0,,,,,,86.0,,,0.75,,20,,1
