Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,03-07-2015 0:00,0,10.2,94,5.4,263,93.85,111.16,412.8,2.3,132.87,12.29
JCB,03-07-2015 1:00,0,11.7,83,10.7,291,93.85,111.16,412.8,2.91,132.87,14.76
JCB,03-07-2015 2:00,0,11.8,76,6.3,306,93.85,111.16,412.8,2.33,132.87,12.41
JCB,03-07-2015 3:00,0,10.4,76,7,320,93.85,111.16,412.8,2.4,132.87,12.73
JCB,03-07-2015 4:00,0,9.9,71,7.4,352,93.85,111.16,412.8,2.47,132.87,12.99
JCB,03-07-2015 5:00,0,9.2,72,8.7,354,93.85,111.16,412.8,2.65,132.87,13.73
JCB,03-07-2015 6:00,0,11.5,63,6.2,12,93.85,111.16,412.8,2.36,132.87,12.53
JCB,03-07-2015 7:00,0,14.9,53,4.4,247,93.85,111.16,412.8,2.23,132.87,12
JCB,03-07-2015 8:00,0,18.1,46,17.6,270,93.85,111.16,412.8,4.71,132.87,21.1
JCB,03-07-2015 9:00,0,22.2,46,12.8,269,93.85,111.16,412.8,4.04,132.87,18.89
JCB,03-07-2015 10:00,0,24.4,30,9.5,288,93.85,111.16,412.8,4.03,132.87,18.85
JCB,03-07-2015 11:00,0,25.7,25,9.6,313,93.85,111.16,412.8,4.85,132.87,21.57
JCB,03-07-2015 12:00,0,26.2,26,4.4,62,93.85,111.16,412.8,4.27,132.87,19.67
JCB,03-07-2015 13:00,0,26.4,20,7,247,93.85,116.33,421.25,5.71,137.64,24.49
JCB,03-07-2015 14:00,0,27.2,21,11.9,339,93.85,116.33,421.25,8.42,137.64,31.94
JCB,03-07-2015 15:00,0,28.3,21,18.5,282,93.85,116.33,421.25,13.4,137.64,43.29
JCB,03-07-2015 16:00,0,24.1,43,13.5,66,93.85,116.33,421.25,10.34,137.64,36.61
JCB,03-07-2015 17:00,0,22.9,43,12.1,90,93.85,116.33,421.25,9.54,137.64,34.73
JCB,03-07-2015 18:00,0,22.8,45,8.6,59,93.85,116.33,421.25,7.89,137.64,30.58
JCB,03-07-2015 19:00,0,22.1,56,2.5,34,93.85,116.33,421.25,5.54,137.64,23.99
JCB,03-07-2015 20:00,0,21.9,37,7.7,184,93.85,116.33,421.25,7.25,137.64,28.89
JCB,03-07-2015 21:00,0,15.8,64,6.7,98,93.85,116.33,421.25,6.35,137.64,26.38
JCB,03-07-2015 22:00,0,11.4,81,5.6,162,93.85,116.33,421.25,5.25,137.64,23.1
JCB,03-07-2015 23:00,0,14.2,79,5.4,88,93.85,116.33,421.25,4.64,137.64,21.17
